times, G0G1_phase_std, S_phase_std, G2_phase_std, M_phase_std, apoptotic_std, necrotic_std
3090.00000000,13.44804819,16.33676835,8.84364178,6.10655386,0.00000000,0.00000000
3120.00000000,19.90000000,20.60800815,7.21179589,4.22018957,0.00000000,0.00000000
3150.00000000,21.71635329,21.91711660,9.68297475,4.33589668,0.00000000,0.00000000
3180.00000000,22.30000000,19.63058838,7.40337761,5.53263048,0.00000000,0.00000000
3210.00000000,22.50422183,19.68146336,9.64365076,4.11825206,0.00000000,0.00000000
3240.00000000,28.20921835,17.05989449,11.84103036,5.10000000,0.00000000,0.00000000
3270.00000000,17.37958573,19.22004162,12.27232659,4.63573079,0.00000000,0.00000000
3300.00000000,22.04450045,20.40098037,9.82903861,6.86731389,0.00000000,0.00000000
3330.00000000,17.79438114,15.32840501,11.22898036,3.97617907,0.00000000,0.00000000
3360.00000000,15.35057002,16.07482504,8.80965380,6.27694193,0.00000000,0.00000000
3390.00000000,20.00999750,16.21758305,12.34665947,4.23792402,0.00000000,0.00000000
3420.00000000,23.64508406,21.12936345,13.89424341,5.31036722,0.00000000,0.00000000
3450.00000000,18.26499384,19.53356086,12.15771360,6.05722709,0.00000000,0.00000000
3480.00000000,23.63895091,14.82733961,9.77189848,6.23618473,0.00000000,0.00000000
3510.00000000,22.92596781,12.10165278,10.08761617,9.43186090,0.00000000,0.00000000
3540.00000000,24.83545852,16.35512152,7.92716847,7.81088983,0.00000000,0.00000000
3570.00000000,26.24671408,17.28843544,8.25893456,5.43046959,0.00000000,0.00000000
3600.00000000,26.09233604,16.46936550,8.47584804,9.63794584,0.00000000,0.00000000
